País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Austrália,2005,12.689001754688674,13.711512447144695,2000,25441.44851815079,Oceania
Austrália,2006,12.446694556494553,13.873475646354803,2000,24968.069280328073,Oceania
Austrália,2007,12.803842644041193,14.275060992441974,2000,25697.312186590676,Oceania
Austrália,2008,12.279025665268763,14.037591144531577,2000,24656.28353585968,Oceania
Austrália,2009,12.50953825011269,13.814190687318101,2000,25131.662344476394,Oceania
Austrália,2010,12.912313725601276,14.438689570161278,2010,25953.750588458566,Oceania
Austrália,2011,13.622460859901043,14.849148319346833,2010,27394.768789260997,Oceania
Austrália,2012,13.329922113932204,14.721663677449168,2010,26819.803293231595,Oceania
Austrália,2013,13.223458609659922,14.34838099932035,2010,26618.82218124542,Oceania
Austrália,2014,12.374730443557356,13.82432360869613,2010,24922.707113324515,Oceania
Austrália,2015,12.886719521816444,14.048058548585713,2010,25966.739836460132,Oceania
Austrália,2016,13.119390964157821,14.245886141107926,2010,26448.69218374217,Oceania
Austrália,2017,12.778864108924802,14.03588708459416,2010,25774.968907701324,Oceania
Austrália,2018,8.165932137321585,9.98345333417401,2010,16478.85105311496,Oceania
Austrália,2019,9.698490846702954,14.009961587707467,2010,19581.253019493266,Oceania
Austrália,2020,12.26714893003754,13.582382325206922,2020,24779.64083867583,Oceania
Austrália,2021,12.812779195284804,14.139833576522268,2020,25894.62675367059,Oceania
Austrália,2022,13.269541232062702,14.279282309333492,2020,26831.012371230783,Oceania
Austrália,2023,12.97810032019349,14.265662821226119,2020,26254.696947751432,Oceania
Áustria,1970,7.192182058713246,6.56244409369372,1970,14168.598655665093,Europa
Áustria,1972,5.869296913133774,6.255750041753367,1970,11574.253512699803,Europa
Áustria,1973,7.745435610274381,7.641084249174914,1970,15281.744459071353,Europa
Áustria,1974,8.57583938684897,8.9085593751449,1970,16928.70694963987,Europa
Áustria,1975,9.086589564540008,8.623533227187563,1970,17946.014389966516,Europa
Áustria,1978,6.398594934535208,5.958424693029782,1970,12656.42078051064,Europa
Áustria,1979,8.35490952835879,8.231376045573969,1970,16534.365956622045,Europa
Áustria,1980,7.777373602657861,8.679141958402255,1980,15399.199733262565,Europa
Áustria,1983,9.036106025364846,8.93353229607628,1980,17918.59824829849,Europa
Áustria,1985,9.378478484253662,8.520587424484253,1980,18616.27979124352,Europa
Áustria,1986,7.462214939768189,8.163086375583216,1980,14819.958870379623,Europa
Áustria,1987,7.83241092718792,8.942591637231851,1980,15563.000512322396,Europa
Áustria,1988,7.496097345175956,8.860215358901183,1980,14902.2415222098,Europa
Áustria,1991,8.729235349659273,9.983176351437496,1990,17379.907581171614,Europa
Áustria,1993,8.183397369998433,8.542665987389269,1990,16309.510958406878,Europa
Áustria,1994,6.814542897259958,8.6328406149422,1990,13588.198537136357,Europa
Áustria,1995,6.985641817639208,8.733271845008325,1990,13936.35542619022,Europa
Áustria,1997,8.39049553837028,9.2681374707024,1990,16755.819590125448,Europa
Áustria,1998,9.096835671179361,10.991695907488845,1990,18175.477671016364,Europa
